Model,Box Identifier,Inbox,Mac,Number of tags?
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0ECF49157E94,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0EF6FCF87E93,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0EF700BC7E91,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0EF9613D7E91,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0EF962F87E9B,1
EL026F6W4A-NWHS,O261203501,I25ZO00057,0F2A5E1A729B,1
EL026F6W4A-NWHS,O25ZH02452,I25ZG00332,0F2A5F3A7298,1
EL026F6W4A-NWHS,O25ZH02458,I25ZC00836,0F2A5F6B729C,1
EL016F6W4A-NWHS,O25ZG02360,I25ZC01860,0F2A60B37E99,1
EL016F6W4A-NWHS,O262A00035,I262700988,0F2A60C67E9B,1
EL016F6W4A-NWHS,O25ZG02368,I25ZC01759,0F2A61297E9B,1
EL016F6W4A-NWHS,O261703843,I25ZG00772,0F2A63AB7E93,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F2A640F7E9A,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F2A64967E9A,1
EL026F6W4A-NWHS,O25ZH02458,I25ZC00836,0F59B6C4729A,1
EL026F6W4A-NWHS,O25ZF02297,I25ZC00747,0F59E0A0729B,1
EL026F6W4A-NWHS,O262700058,I262700851,0F59E792729D,1
EL026F6W4A-NWHS,O262K00062,I262J01370,0F59E7EE7296,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A86507E9B,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A866F7E97,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A86C17E93,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A89BE7E94,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8BBA7E92,1
EL016F6W4A-NWHS,O25ZG02364,I25ZE00250,0F5A8C747E97,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8D267E91,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8DDF7E97,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8DF77E9D,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8EE17E99,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A8EEA7E92,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8F587E9A,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A8FBE7E92,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8FC17E9A,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A8FC67E9D,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A8FD87E92,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A90347E9E,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A90437E9E,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F5A90FD7E9B,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A92397E91,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A92677E9A,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A926D7E90,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F5A926F7E92,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A92757E99,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A928B7E98,1
EL016F6W4A-NWHS,O25ZH02438,I25ZA00187,0F5A93DF7E98,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A94197E95,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A94377E99,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F5A94C57E94,1
EL016F6W4A-NWHS,O25ZH02444,I25ZA00207,0F5A956A7E90,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A95AA7E9C,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A95B67E91,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F5A96C37E90,1
EL016F6W4A-NWHS,O25ZG02390,I25ZA00205,0F5A98E57E9A,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A9ADD7E93,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A9CB17E9F,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A9CEF7E94,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5A9D377E90,1
EL016F6W4A-NWHS,O25ZG02389,I25ZA00194,0F5A9D3B7E9C,1
EL016F6W4A-NWHS,O261E00065,I25ZI00789,0F5AADC07E9B,1
EL016F6W4A-NWHS,O25ZH02440,I25ZA00206,0F5AAE8D7E91,1
