mac,source_type
0ECF49157E94,IMPORTED
0EF6FCF87E93,IMPORTED
0EF700BC7E91,IMPORTED
0EF9613D7E91,IMPORTED
0EF962F87E9B,IMPORTED
0F2A5E1A729B,IMPORTED
0F2A5F3A7298,IMPORTED
0F2A5F6B729C,IMPORTED
0F2A60B37E99,IMPORTED
0F2A60C67E9B,IMPORTED
0F2A61297E9B,IMPORTED
0F2A63AB7E93,IMPORTED
0F2A640F7E9A,IMPORTED
0F2A64967E9A,IMPORTED
0F59B6C4729A,IMPORTED
0F59E0A0729B,IMPORTED
0F59E792729D,IMPORTED
0F59E7EE7296,IMPORTED
0F5A86507E9B,IMPORTED
0F5A866F7E97,IMPORTED
0F5A86C17E93,IMPORTED
0F5A89BE7E94,IMPORTED
0F5A8BBA7E92,IMPORTED
0F5A8C747E97,IMPORTED
0F5A8D267E91,IMPORTED
0F5A8DDF7E97,IMPORTED
0F5A8DF77E9D,IMPORTED
0F5A8EE17E99,IMPORTED
0F5A8EEA7E92,IMPORTED
0F5A8F587E9A,IMPORTED
0F5A8FBE7E92,IMPORTED
0F5A8FC17E9A,IMPORTED
0F5A8FC67E9D,IMPORTED
0F5A8FD87E92,IMPORTED
0F5A90347E9E,IMPORTED
0F5A90437E9E,IMPORTED
0F5A90FD7E9B,IMPORTED
0F5A92397E91,IMPORTED
0F5A92677E9A,IMPORTED
0F5A926D7E90,IMPORTED
0F5A926F7E92,IMPORTED
0F5A92757E99,IMPORTED
0F5A928B7E98,IMPORTED
0F5A93DF7E98,IMPORTED
0F5A94197E95,IMPORTED
0F5A94377E99,IMPORTED
0F5A94C57E94,IMPORTED
0F5A956A7E90,IMPORTED
0F5A95AA7E9C,IMPORTED
0F5A95B67E91,IMPORTED
0F5A96C37E90,IMPORTED
0F5A98E57E9A,IMPORTED
0F5A9ADD7E93,IMPORTED
0F5A9CB17E9F,IMPORTED
0F5A9CEF7E94,IMPORTED
0F5A9D377E90,IMPORTED
0F5A9D3B7E9C,IMPORTED
0F5AADC07E9B,IMPORTED
0F5AAE8D7E91,IMPORTED
0F5AAF237E94,IMPORTED
0F5AAF487E99,IMPORTED
0F5AB5277E9B,IMPORTED
